process_id,label,syscalls
101,normal,"openat read read mmap close"
102,normal,"openat read mmap read close"
103,normal,"openat read read close"
104,normal,"openat fstat read close"
105,normal,"openat read fstat close"
106,normal,"openat read mmap munmap close"
107,normal,"openat read read read close"
108,normal,"openat fstat mmap read close"
109,normal,"openat read lseek read close"
110,normal,"openat read close openat read close"
111,normal,"openat read write close"
112,normal,"openat read read write close"
113,normal,"openat fstat read write close"
114,normal,"openat read mmap write close"
115,normal,"openat read write write close"
116,normal,"openat read lseek write close"
117,normal,"openat read close openat write close"
118,normal,"openat fstat mmap write close"
119,normal,"openat read write fstat close"
120,normal,"openat read mmap munmap write close"
121,normal,"socket connect sendto recvfrom close"
122,normal,"socket connect recvfrom sendto close"
123,normal,"socket connect sendmsg recvmsg close"
124,normal,"socket connect sendto sendto recvfrom close"
125,normal,"socket connect recvfrom recvfrom close"
126,normal,"socket bind listen accept close"
127,normal,"socket bind listen accept4 close"
128,normal,"socket connect sendto close"
129,normal,"socket connect recvfrom close"
130,normal,"socket bind listen accept recvfrom close"
131,normal,"openat read close socket connect sendto close"
132,normal,"openat read mmap close socket connect recvfrom close"
133,normal,"socket connect sendto close openat write close"
134,normal,"openat fstat read close socket connect close"
135,normal,"openat read write close socket connect recvfrom close"
136,normal,"socket bind listen accept close openat read close"
137,normal,"openat read close execve openat read close"
138,normal,"clone execve openat read close wait4"
139,normal,"openat read close chmod close"
140,normal,"openat fstat chmod close"
141,normal,"openat read close chown close"
142,normal,"openat read close setuid close"
143,normal,"openat read close kill close"
144,normal,"openat read close socket connect recvfrom close openat read close"
145,normal,"socket connect sendto recvfrom close openat read mmap close socket connect close"
146,normal,"openat read mmap munmap close openat read write close openat read close"
147,normal,"socket bind listen accept recvfrom close socket bind listen accept close"
148,normal,"openat read close clone execve openat read close wait4"
